Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Autres couleurs (product.metafields.custom.autres_couleurs),Autres couleurs disponibles waffle (product.metafields.custom.autres_couleurs_disponibles_waffle),Linked colors (product.metafields.custom.linked_colors),Restock badge (product.metafields.custom.restock_badge),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Nombre d’évaluations de produit (product.metafields.reviews.rating_count),Tranche d’âge (product.metafields.shopify.age-group),Caractéristiques des vêtements (product.metafields.shopify.clothing-features),Couleur (product.metafields.shopify.color-pattern),Tissu (product.metafields.shopify.fabric),Décolleté (product.metafields.shopify.neckline),Taille (product.metafields.shopify.size),Type de longueur du manche (product.metafields.shopify.sleeve-length-type),Sexe cible (product.metafields.shopify.target-gender),Type de longueur du haut (product.metafields.shopify.top-length-type),Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products),Paramètres des produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products_display),Mises en avant de produits dans la recherche (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
calecon-noir-1,Caleçon Noir,"",Noclout,Apparel & Accessories,"","",false,SIZE,XS,,,,,,,,CLN-XS-NOIR,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,CLN-XS-NOIR,,,,false,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
calecon-noir-1,,,,,,,,,S,,,,,,,,CLN-S-NOIR,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,CLN-S-NOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
calecon-noir-1,,,,,,,,,M,,,,,,,,CLN-M-NOIR,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,CLN-M-NOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
calecon-noir-1,,,,,,,,,L,,,,,,,,CLN-L-NOIR,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,CLN-L-NOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
calecon-noir-1,,,,,,,,,XL,,,,,,,,CLN-XL-NOIR,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,CLN-XL-NOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
veste-pearl,Pearl - V,"<p>Structured and precise, finished with hand-applied pearl elements.<br>A balance between raw and refined.</p>
<p> </p>
<ul>
<li>100% cotton</li>
<li>14 oz denim (450GSM)</li>
<li>Red inner lining (100% polyester)</li>
<li>Regular fit</li>
<li>Riveted pearl detailing, built to last</li>
<li>Custom-designed inner label</li>
<li>Front pockets</li>
<li>Each piece includes exclusive goodies &lt;3</li>
</ul>",Noclout,Apparel & Accessories > Clothing > Clothing Tops,"","",false,Size,XS,,,,,,,,JKT-XS-PRL,950.0,shopify,1,deny,manual,119.99,,true,true,,,,,JKT-XS-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jacket-1.jpg?v=1774537828,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
veste-pearl,,,,,,,,,S,,,,,,,,JKT-S-PRL,1010.0,shopify,1,deny,manual,119.99,,true,true,,,,,JKT-S-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jacket-2.jpg?v=1774537828,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
veste-pearl,,,,,,,,,M,,,,,,,,JKT-M-PRL,1070.0,shopify,1,deny,manual,119.99,,true,true,,,,,JKT-M-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jacket-4.jpg?v=1774537828,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
veste-pearl,,,,,,,,,L,,,,,,,,JKT-L-PRL,1130.0,shopify,1,deny,manual,119.99,,true,true,,,,,JKT-L-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jacket-5.jpg?v=1774537829,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
veste-pearl,,,,,,,,,XL,,,,,,,,JKT-XL-PRL,1180.0,shopify,1,deny,manual,119.99,,true,true,,,,,JKT-XL-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jacket-3.jpg?v=1774537828,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
